posid,B CELLS/D90,B CELLS/M12,B CELLS/M6,BM_CD34/D0,NEUTROPHILS/D90,NEUTROPHILS/M12,NEUTROPHILS/M6,NK CELLS/D90,PBMC/D90,PBMC/M12,PBMC/M6,T CELLS/D90,T-CELLS/M12,T-CELLS/M6,WHOLE BLOOD/D90,WHOLE BLOOD/M12,WHOLE BLOOD/M6,patient
chr1-100026460,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-100053746,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-100077679,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p304G
chr1-100389735,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-100432715,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-10072660,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-10090231,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,p304G
chr1-10094278,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-101157547,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-10170001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-10232468,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-10274186,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,p304G
chr1-10294694,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-10295569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-10300885,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-10305579,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,p304G
chr1-103535394,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-10362580,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-10391974,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-103936677,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p304G
chr1-103936984,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p304G
chr1-104718452,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-10500099,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-10537551,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-10562296,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p304G
chr1-10566861,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-10576084,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,p304G
chr1-10584820,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-107873491,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,p304G
chr1-107901120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-107902160,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p304G
chr1-108566342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p304G
chr1-108755131,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
chr1-108759896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p304G
chr1-108760247,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,p304G
chr1-108772902,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p304G
