cellType,timePoint,dataSource,posidLabel,totalCells,timePointDays,relAbund,patient
WHOLE BLOOD,UNS,Illumina,LowAbund,4971,0,99.31603299134983,p304002
WHOLE BLOOD,UNS,Illumina,"LOC101929231 *
chr2+149618364",4971,0,0.10058338362502514,p304002
WHOLE BLOOD,UNS,Illumina,"SRRM1 *
chr1-24653891",4971,0,0.08046670690002011,p304002
WHOLE BLOOD,UNS,Illumina,"PCDH15 
chr10+53316999",4971,0,0.08046670690002011,p304002
WHOLE BLOOD,UNS,Illumina,"FBXO28 *
chr1-224148240",4971,0,0.06035003017501509,p304002
WHOLE BLOOD,UNS,Illumina,"LRRC40 *
chr1-70148884",4971,0,0.06035003017501509,p304002
WHOLE BLOOD,UNS,Illumina,"LOC100129138 
chr1+104569856",4971,0,0.06035003017501509,p304002
WHOLE BLOOD,UNS,Illumina,"PPP4R4 *
chr14+94235719",4971,0,0.06035003017501509,p304002
WHOLE BLOOD,UNS,Illumina,"ZNF562 
chr19-9645611",4971,0,0.06035003017501509,p304002
WHOLE BLOOD,UNS,Illumina,"MRPS5 *~
chr2-95099191",4971,0,0.06035003017501509,p304002
WHOLE BLOOD,UNS,Illumina,"RHOH *~
chr4+40209977",4971,0,0.06035003017501509,p304002
