posid,WHOLE BLOOD/UNS,patient
chr1-100060875,1,p304002
chr1-100842452,1,p304002
chr1-103977692,1,p304002
chr1-105827304,1,p304002
chr1-107639233,1,p304002
chr1-107750903,1,p304002
chr1-11025923,1,p304002
chr1-110352069,1,p304002
chr1-111636281,1,p304002
chr1-117441617,1,p304002
chr1-118032081,1,p304002
chr1-1344107,1,p304002
chr1-143213386,1,p304002
chr1-146678900,1,p304002
chr1-150023109,1,p304002
chr1-150110518,1,p304002
chr1-150302833,1,p304002
chr1-150396502,1,p304002
chr1-150633046,1,p304002
chr1-150693430,1,p304002
chr1-150788670,1,p304002
chr1-151417821,1,p304002
chr1-151636034,1,p304002
chr1-151928409,1,p304002
chr1-153597262,1,p304002
chr1-153867268,1,p304002
chr1-153889287,1,p304002
chr1-154019446,1,p304002
chr1-154240040,1,p304002
chr1-155246571,1,p304002
chr1-155437680,1,p304002
chr1-155440792,1,p304002
chr1-155523297,2,p304002
chr1-155525240,1,p304002
chr1-155534833,1,p304002
chr1-155795642,1,p304002
chr1-155827205,1,p304002
chr1-155840211,1,p304002
chr1-155900440,1,p304002
chr1-156205225,1,p304002
chr1-1562311,1,p304002
chr1-15631160,1,p304002
chr1-156793838,1,p304002
chr1-1569173,1,p304002
chr1-15866809,1,p304002
chr1-15877585,1,p304002
chr1-15903406,1,p304002
chr1-159046685,1,p304002
chr1-160556018,1,p304002
chr1-160579102,1,p304002
chr1-160738621,1,p304002
chr1-16445885,1,p304002
chr1-168007083,1,p304002
chr1-169638236,1,p304002
chr1-169817632,1,p304002
chr1-169901017,1,p304002
chr1-170477525,1,p304002
chr1-171936393,1,p304002
chr1-174536871,1,p304002
chr1-175242843,1,p304002
chr1-176024776,1,p304002
chr1-176083113,1,p304002
chr1-178368550,1,p304002
chr1-178511282,1,p304002
chr1-1828563,1,p304002
chr1-1854830,1,p304002
chr1-186361464,1,p304002
chr1-1870273,1,p304002
chr1-187455141,1,p304002
chr1-188411861,1,p304002
chr1-190910816,1,p304002
chr1-191328043,1,p304002
chr1-191364101,1,p304002
chr1-19137035,1,p304002
chr1-192051761,1,p304002
chr1-192649277,1,p304002
chr1-193095417,1,p304002
chr1-193156493,1,p304002
chr1-194133560,1,p304002
chr1-195920339,1,p304002
chr1-197197214,1,p304002
chr1-197661214,1,p304002
chr1-202394353,1,p304002
chr1-202465992,1,p304002
chr1-202561991,1,p304002
chr1-203657651,1,p304002
chr1-206716344,1,p304002
chr1-207602536,1,p304002
chr1-207699949,1,p304002
chr1-207783906,1,p304002
chr1-20779283,1,p304002
chr1-20943935,1,p304002
chr1-222576252,1,p304002
chr1-223984069,1,p304002
chr1-224148240,3,p304002
chr1-226145822,1,p304002
chr1-226286441,1,p304002
chr1-227094750,1,p304002
chr1-227147161,1,p304002
chr1-229298642,1,p304002
chr1-2297837,1,p304002
chr1-23045738,1,p304002
chr1-231961060,1,p304002
chr1-234425922,1,p304002
chr1-235119446,1,p304002
chr1-235178955,1,p304002
chr1-235266461,1,p304002
chr1-238558282,1,p304002
chr1-23965107,1,p304002
chr1-243705014,1,p304002
chr1-246054480,1,p304002
chr1-24653692,1,p304002
chr1-24653891,4,p304002
chr1-246581501,1,p304002
chr1-247919072,1,p304002
chr1-248094427,1,p304002
chr1-24984836,1,p304002
chr1-26123167,1,p304002
chr1-26247010,2,p304002
chr1-26440307,1,p304002
chr1-26880214,1,p304002
chr1-27259371,1,p304002
chr1-27464505,1,p304002
chr1-27466326,1,p304002
chr1-27468029,1,p304002
chr1-27472133,1,p304002
chr1-28026879,1,p304002
chr1-28170683,1,p304002
chr1-28170764,1,p304002
chr1-28756394,1,p304002
chr1-31011656,1,p304002
chr1-3108406,1,p304002
chr1-31911128,1,p304002
chr1-31922091,1,p304002
chr1-32129150,1,p304002
chr1-32131289,1,p304002
chr1-32819823,1,p304002
chr1-3401527,1,p304002
chr1-35058003,1,p304002
chr1-35181135,1,p304002
chr1-35182419,1,p304002
chr1-35323842,1,p304002
chr1-35365765,1,p304002
chr1-35966712,1,p304002
chr1-35969233,1,p304002
chr1-35977991,1,p304002
chr1-35980090,1,p304002
chr1-36227201,1,p304002
chr1-3661742,1,p304002
chr1-37585592,1,p304002
chr1-39262950,1,p304002
chr1-39297421,1,p304002
chr1-39316102,1,p304002
chr1-39427860,1,p304002
chr1-39872609,1,p304002
chr1-40221580,1,p304002
chr1-40224263,1,p304002
chr1-40753110,1,p304002
chr1-41196761,1,p304002
chr1-41214832,1,p304002
chr1-42326070,1,p304002
chr1-42451019,1,p304002
chr1-43773289,1,p304002
chr1-43800600,1,p304002
chr1-43827898,1,p304002
chr1-43857846,1,p304002
chr1-45071316,1,p304002
chr1-45447805,1,p304002
chr1-45673523,1,p304002
chr1-45896064,1,p304002
chr1-48311334,1,p304002
chr1-50738041,1,p304002
chr1-52473568,1,p304002
chr1-55207266,1,p304002
chr1-61301056,1,p304002
chr1-62644275,1,p304002
chr1-64945372,1,p304002
chr1-66967775,1,p304002
chr1-67244411,1,p304002
chr1-6808686,1,p304002
chr1-6873311,2,p304002
chr1-70148884,3,p304002
chr1-70234945,1,p304002
chr1-70327424,1,p304002
chr1-70495556,1,p304002
chr1-70665101,1,p304002
chr1-71728665,1,p304002
chr1-72221050,1,p304002
chr1-77577859,1,p304002
chr1-77968781,1,p304002
chr1-84201965,1,p304002
chr1-8526668,1,p304002
chr1-86082545,1,p304002
chr1-86372456,1,p304002
chr1-8637943,1,p304002
chr1-86384381,1,p304002
chr1-8640723,1,p304002
chr1-8668310,1,p304002
chr1-8676329,1,p304002
chr1-91262940,1,p304002
chr1-91840197,1,p304002
chr1-92571570,1,p304002
chr1-93169846,2,p304002
chr1-93219212,1,p304002
chr1-9659695,1,p304002
chr1-96781935,2,p304002
chr1-9694947,1,p304002
chr1-97603707,1,p304002
chr1-97842476,1,p304002
chr1-97858411,1,p304002
chr1+100196170,1,p304002
chr1+10228397,2,p304002
chr1+104569856,3,p304002
chr1+109364625,1,p304002
chr1+111622353,1,p304002
chr1+111637044,1,p304002
chr1+11211531,1,p304002
chr1+113952010,1,p304002
chr1+114433796,1,p304002
chr1+125058995,1,p304002
chr1+13763660,1,p304002
chr1+1410657,1,p304002
chr1+146045280,1,p304002
chr1+147257221,1,p304002
chr1+149428848,1,p304002
chr1+149586701,1,p304002
chr1+149616022,1,p304002
chr1+150374160,1,p304002
chr1+150408390,1,p304002
chr1+150632991,1,p304002
chr1+150768801,1,p304002
chr1+150827738,1,p304002
chr1+150835694,1,p304002
chr1+151020053,1,p304002
chr1+151428855,1,p304002
chr1+151436535,1,p304002
chr1+151658901,1,p304002
chr1+151935750,1,p304002
chr1+153530117,1,p304002
chr1+153555282,1,p304002
chr1+153811107,1,p304002
chr1+153813900,1,p304002
chr1+153856678,1,p304002
chr1+153856917,1,p304002
chr1+153867509,1,p304002
chr1+153869051,1,p304002
chr1+153885446,1,p304002
chr1+153885533,1,p304002
chr1+153889114,1,p304002
chr1+153907347,1,p304002
chr1+153909354,1,p304002
chr1+153909417,1,p304002
chr1+153915498,1,p304002
chr1+154168596,1,p304002
chr1+154368889,1,p304002
chr1+154604635,1,p304002
chr1+154662702,1,p304002
chr1+155355607,1,p304002
chr1+155385212,1,p304002
chr1+155419726,1,p304002
chr1+155441135,1,p304002
chr1+155449302,1,p304002
chr1+155475683,1,p304002
chr1+155499297,1,p304002
chr1+155511616,1,p304002
chr1+155522257,1,p304002
chr1+155525938,1,p304002
chr1+155558290,1,p304002
chr1+155671979,1,p304002
chr1+155685099,1,p304002
chr1+155923939,1,p304002
chr1+155929513,1,p304002
chr1+156108503,1,p304002
chr1+157867389,1,p304002
chr1+157867891,1,p304002
chr1+15869844,1,p304002
chr1+15874893,1,p304002
chr1+15888569,1,p304002
chr1+159651564,1,p304002
chr1+159738939,1,p304002
chr1+160383955,1,p304002
chr1+160592189,1,p304002
chr1+161011187,1,p304002
chr1+161860599,1,p304002
chr1+16290355,2,p304002
chr1+164591238,1,p304002
chr1+165626142,1,p304002
chr1+16599702,1,p304002
chr1+167388534,1,p304002
chr1+167932151,1,p304002
chr1+168027950,1,p304002
chr1+17037548,1,p304002
chr1+17177551,1,p304002
chr1+171871640,1,p304002
chr1+173957489,1,p304002
chr1+173957666,1,p304002
chr1+175949957,1,p304002
chr1+176022301,1,p304002
chr1+1792840,1,p304002
chr1+179996498,1,p304002
chr1+180031458,1,p304002
chr1+180470527,1,p304002
chr1+1835267,1,p304002
chr1+1839634,2,p304002
chr1+188514608,2,p304002
chr1+188616835,1,p304002
chr1+188830310,1,p304002
chr1+192011125,1,p304002
chr1+192603045,1,p304002
chr1+193200376,1,p304002
chr1+193200383,1,p304002
chr1+194050139,1,p304002
chr1+195731344,1,p304002
chr1+195795319,1,p304002
chr1+195826156,1,p304002
chr1+196398702,1,p304002
chr1+197646222,1,p304002
chr1+202511159,1,p304002
chr1+203816230,1,p304002
chr1+205443088,1,p304002
chr1+205737485,1,p304002
chr1+2058774,1,p304002
chr1+207341083,1,p304002
chr1+20742809,1,p304002
chr1+207756014,1,p304002
chr1+207765388,1,p304002
chr1+20823163,1,p304002
chr1+21020557,1,p304002
chr1+21065565,1,p304002
chr1+21114863,1,p304002
chr1+212860903,1,p304002
chr1+214339076,1,p304002
chr1+21710017,1,p304002
chr1+217573767,1,p304002
chr1+220059721,1,p304002
chr1+220207283,1,p304002
chr1+221607174,1,p304002
chr1+222848767,1,p304002
chr1+224124819,1,p304002
chr1+224228736,1,p304002
chr1+2262913,1,p304002
chr1+227057857,1,p304002
chr1+227093049,1,p304002
chr1+227104935,1,p304002
chr1+227270058,1,p304002
chr1+227314639,1,p304002
chr1+229286672,1,p304002
chr1+23122801,1,p304002
chr1+23143868,1,p304002
chr1+23313710,1,p304002
chr1+23338531,1,p304002
chr1+23359519,1,p304002
chr1+237793426,1,p304002
chr1+23785470,1,p304002
chr1+23861395,1,p304002
chr1+239674478,1,p304002
chr1+239908897,1,p304002
chr1+243211067,1,p304002
chr1+246228413,1,p304002
chr1+247195936,1,p304002
chr1+24785926,1,p304002
chr1+24793689,1,p304002
chr1+24827945,1,p304002
chr1+248919600,1,p304002
chr1+25456579,1,p304002
chr1+27785094,1,p304002
chr1+28072454,1,p304002
chr1+28962426,1,p304002
chr1+30937373,1,p304002
chr1+31013381,1,p304002
chr1+31916990,1,p304002
chr1+32835777,1,p304002
chr1+32851793,1,p304002
chr1+33400190,1,p304002
chr1+33400488,1,p304002
chr1+33405990,1,p304002
chr1+35189578,1,p304002
chr1+35288675,1,p304002
chr1+35331749,1,p304002
chr1+35525124,1,p304002
chr1+35940451,1,p304002
chr1+36353465,1,p304002
chr1+37506701,1,p304002
chr1+38450412,1,p304002
chr1+3893557,1,p304002
chr1+39186522,1,p304002
chr1+39428380,1,p304002
chr1+40484022,1,p304002
chr1+41141193,1,p304002
chr1+43843428,1,p304002
chr1+44111752,1,p304002
chr1+44535785,1,p304002
chr1+45425705,1,p304002
chr1+45722701,1,p304002
chr1+51810897,1,p304002
chr1+52473404,1,p304002
chr1+52822347,1,p304002
chr1+59420057,1,p304002
chr1+60140115,1,p304002
chr1+61239288,1,p304002
chr1+62789024,1,p304002
chr1+62828960,1,p304002
chr1+64801789,1,p304002
chr1+65437971,1,p304002
chr1+6621335,1,p304002
chr1+71491056,1,p304002
chr1+71668064,1,p304002
chr1+73522035,1,p304002
chr1+73603578,1,p304002
chr1+74596740,1,p304002
chr1+74632939,1,p304002
chr1+76517908,1,p304002
chr1+76605652,1,p304002
chr1+76874073,1,p304002
chr1+78156310,1,p304002
chr1+78626356,1,p304002
chr1+78652163,1,p304002
chr1+81931818,1,p304002
chr1+84173674,1,p304002
chr1+8617467,1,p304002
chr1+88783377,1,p304002
chr1+88813362,1,p304002
chr1+89638338,1,p304002
chr1+93092674,1,p304002
chr1+93119258,1,p304002
chr1+93133676,1,p304002
chr1+9672844,1,p304002
chr1+96757402,1,p304002
chr1+96768187,1,p304002
chr1+97134705,1,p304002
chr1+9801518,1,p304002
chr1+98122404,1,p304002
chr1+99447117,1,p304002
chr10-101929736,1,p304002
chr10-102293394,1,p304002
chr10-103105793,1,p304002
chr10-103144030,1,p304002
chr10-103148700,1,p304002
chr10-103152859,1,p304002
chr10-107649602,1,p304002
chr10-108334520,1,p304002
chr10-109039209,1,p304002
chr10-110926777,1,p304002
chr10-112003765,1,p304002
chr10-114977542,1,p304002
chr10-115215824,1,p304002
chr10-11596448,1,p304002
chr10-11607788,1,p304002
chr10-117340243,1,p304002
chr10-118331504,1,p304002
chr10-11997034,1,p304002
chr10-121854034,1,p304002
chr10-125168653,1,p304002
chr10-15778110,1,p304002
chr10-198159,1,p304002
chr10-203336,1,p304002
chr10-21600629,1,p304002
chr10-21647906,1,p304002
chr10-218230,1,p304002
chr10-21981843,1,p304002
chr10-27273759,1,p304002
chr10-28121467,1,p304002
chr10-35524454,1,p304002
chr10-36682144,1,p304002
chr10-38052496,1,p304002
chr10-46039760,1,p304002
chr10-4675843,1,p304002
chr10-4927134,1,p304002
chr10-49504722,1,p304002
chr10-52060492,1,p304002
chr10-53540553,1,p304002
chr10-5425689,1,p304002
chr10-5761074,1,p304002
chr10-57695516,1,p304002
chr10-58375800,1,p304002
chr10-58661162,1,p304002
chr10-60651077,1,p304002
chr10-60887752,1,p304002
chr10-6092233,1,p304002
chr10-61393627,1,p304002
chr10-62050908,1,p304002
chr10-63295521,1,p304002
chr10-64728156,1,p304002
chr10-64779316,1,p304002
chr10-66854497,1,p304002
chr10-68024707,1,p304002
chr10-70200392,1,p304002
chr10-72567570,1,p304002
chr10-73482083,1,p304002
chr10-73716590,1,p304002
chr10-73969203,1,p304002
chr10-74254729,1,p304002
chr10-75537349,1,p304002
chr10-81442434,1,p304002
chr10-81720802,1,p304002
chr10-84449841,1,p304002
chr10-87937929,1,p304002
chr10-88924598,1,p304002
chr10-91278774,1,p304002
chr10-92891226,1,p304002
chr10-92935118,1,p304002
chr10-92947860,1,p304002
chr10-94592341,1,p304002
chr10-9557819,1,p304002
chr10-96882853,1,p304002
chr10-98195206,1,p304002
chr10+101808393,2,p304002
chr10+101929568,1,p304002
chr10+101962065,1,p304002
chr10+102260208,1,p304002
chr10+102878102,1,p304002
chr10+103094674,1,p304002
chr10+103105789,1,p304002
chr10+103144722,1,p304002
chr10+103145989,1,p304002
chr10+105942605,1,p304002
chr10+108490717,1,p304002
chr10+108553800,1,p304002
chr10+110274538,1,p304002
chr10+110931630,1,p304002
chr10+110931840,1,p304002
chr10+110935057,1,p304002
chr10+114946921,1,p304002
chr10+121805109,1,p304002
chr10+121880274,1,p304002
chr10+122941845,1,p304002
chr10+125082679,1,p304002
chr10+126104237,1,p304002
chr10+129304742,1,p304002
chr10+17664680,1,p304002
chr10+18640385,1,p304002
chr10+19878173,1,p304002
chr10+20557970,1,p304002
chr10+21661866,1,p304002
chr10+26792607,1,p304002
chr10+27138615,1,p304002
chr10+27950705,1,p304002
chr10+31840181,1,p304002
chr10+32920083,1,p304002
chr10+36522698,1,p304002
chr10+39031848,1,p304002
chr10+44182017,1,p304002
chr10+4906582,1,p304002
chr10+50555985,1,p304002
chr10+52124411,1,p304002
chr10+52879713,1,p304002
chr10+53316999,4,p304002
chr10+53649017,1,p304002
chr10+53885106,1,p304002
chr10+58351301,1,p304002
chr10+58354093,1,p304002
chr10+61566431,1,p304002
chr10+61672610,1,p304002
chr10+65690245,1,p304002
chr10+68984990,1,p304002
chr10+71840071,1,p304002
chr10+72226830,1,p304002
chr10+72714636,1,p304002
chr10+73482595,1,p304002
chr10+74393450,1,p304002
chr10+74449615,1,p304002
chr10+74489831,1,p304002
chr10+74546598,1,p304002
chr10+76027785,1,p304002
chr10+76321252,1,p304002
chr10+80963052,1,p304002
chr10+81685732,1,p304002
chr10+88240282,1,p304002
chr10+89748229,2,p304002
chr10+89877127,1,p304002
chr10+92998111,1,p304002
chr10+98198172,1,p304002
chr11-10240633,1,p304002
chr11-10520726,1,p304002
chr11-105385269,1,p304002
chr11-108152822,1,p304002
chr11-108322655,1,p304002
chr11-110099606,1,p304002
chr11-114375817,1,p304002
chr11-114427947,1,p304002
chr11-117027088,1,p304002
chr11-117027923,1,p304002
chr11-118238225,1,p304002
chr11-118404111,1,p304002
chr11-118444616,1,p304002
chr11-118464920,1,p304002
chr11-118465935,1,p304002
chr11-118482957,2,p304002
chr11-11916693,1,p304002
chr11-120432969,1,p304002
chr11-121486728,1,p304002
chr11-121535384,1,p304002
chr11-122386305,1,p304002
chr11-123521770,1,p304002
chr11-124634983,1,p304002
chr11-124784492,1,p304002
chr11-128982274,1,p304002
chr11-13458168,1,p304002
chr11-13706558,1,p304002
chr11-1534237,1,p304002
chr11-15712735,1,p304002
chr11-16041716,1,p304002
chr11-16269853,1,p304002
chr11-20414559,1,p304002
chr11-225433,1,p304002
chr11-23064048,1,p304002
chr11-23341075,1,p304002
chr11-24900355,1,p304002
chr11-28286806,1,p304002
chr11-30571759,1,p304002
chr11-31464262,1,p304002
chr11-31482978,1,p304002
chr11-31629337,1,p304002
chr11-32684452,1,p304002
chr11-32908144,1,p304002
chr11-3364703,1,p304002
chr11-34578236,1,p304002
chr11-34964263,1,p304002
chr11-35699015,1,p304002
chr11-36330628,1,p304002
chr11-3738551,1,p304002
chr11-37497328,1,p304002
chr11-37563561,1,p304002
chr11-37568094,1,p304002
chr11-38072188,1,p304002
chr11-39779522,1,p304002
chr11-46631174,1,p304002
chr11-46816558,1,p304002
chr11-46831678,1,p304002
chr11-48911538,1,p304002
chr11-48940975,1,p304002
chr11-5296525,1,p304002
chr11-5706477,1,p304002
chr11-57974084,1,p304002
chr11-58583760,1,p304002
chr11-589698,1,p304002
chr11-595655,1,p304002
chr11-59986035,1,p304002
chr11-59995368,1,p304002
chr11-60047691,1,p304002
chr11-603861,1,p304002
chr11-61413379,1,p304002
chr11-61938463,1,p304002
chr11-62039053,2,p304002
chr11-62054228,1,p304002
chr11-62354452,1,p304002
chr11-62551799,1,p304002
chr11-62800106,1,p304002
chr11-63715326,1,p304002
chr11-63726565,1,p304002
chr11-63784984,1,p304002
chr11-63852334,1,p304002
chr11-63852520,1,p304002
chr11-64768518,1,p304002
chr11-64775940,1,p304002
chr11-64792656,1,p304002
chr11-65194644,1,p304002
chr11-65272151,1,p304002
chr11-65290858,1,p304002
chr11-65348140,1,p304002
chr11-65406181,1,p304002
chr11-65503359,1,p304002
chr11-65550478,1,p304002
chr11-66066105,1,p304002
chr11-66093834,1,p304002
chr11-66119316,1,p304002
chr11-66123079,1,p304002
chr11-66124301,2,p304002
chr11-66126377,1,p304002
chr11-66162886,1,p304002
chr11-66170354,1,p304002
chr11-67111046,1,p304002
chr11-67146956,1,p304002
chr11-67148509,1,p304002
chr11-67150797,1,p304002
chr11-67152179,1,p304002
chr11-67176378,1,p304002
chr11-67177329,1,p304002
chr11-67179554,1,p304002
chr11-67187932,1,p304002
chr11-67203630,1,p304002
chr11-67221129,1,p304002
chr11-67221619,1,p304002
chr11-67270013,1,p304002
chr11-672814,1,p304002
chr11-68103313,1,p304002
chr11-68171344,1,p304002
chr11-68178642,1,p304002
chr11-68187955,1,p304002
chr11-68474470,1,p304002
chr11-68482659,1,p304002
chr11-68489227,1,p304002
chr11-68511799,1,p304002
chr11-68521201,1,p304002
chr11-68532938,1,p304002
chr11-68572007,1,p304002
chr11-68586898,1,p304002
chr11-71820056,1,p304002
chr11-71969893,1,p304002
chr11-72057118,1,p304002
chr11-73000500,1,p304002
chr11-73089983,1,p304002
chr11-73094417,1,p304002
chr11-73102757,1,p304002
chr11-73132003,1,p304002
chr11-73150586,1,p304002
chr11-73209215,1,p304002
chr11-73531370,1,p304002
chr11-73901924,1,p304002
chr11-74108619,1,p304002
chr11-74186196,1,p304002
chr11-75104932,1,p304002
chr11-75960525,1,p304002
chr11-75987383,2,p304002
chr11-762391,1,p304002
chr11-77296580,1,p304002
chr11-77743180,1,p304002
chr11-8127781,1,p304002
chr11-85658723,1,p304002
chr11-85877016,1,p304002
chr11-86052014,1,p304002
chr11-87416934,1,p304002
chr11-88101732,1,p304002
chr11-88363308,1,p304002
chr11-9205804,1,p304002
chr11-937170,1,p304002
chr11-9399522,1,p304002
chr11-95008370,1,p304002
chr11-95195137,1,p304002
chr11-95571231,1,p304002
chr11-9737060,1,p304002
chr11-97721048,1,p304002
chr11-98281477,1,p304002
chr11-98748752,1,p304002
chr11-98854903,1,p304002
chr11-99005698,1,p304002
chr11+10033048,1,p304002
chr11+10054138,1,p304002
chr11+10118815,1,p304002
chr11+10165037,1,p304002
chr11+10227554,1,p304002
chr11+102337142,1,p304002
chr11+10263149,1,p304002
chr11+105310130,1,p304002
chr11+105571757,1,p304002
chr11+105659330,1,p304002
chr11+107509581,1,p304002
chr11+108506784,1,p304002
chr11+108681280,1,p304002
chr11+117062302,1,p304002
chr11+117063511,1,p304002
chr11+118398251,1,p304002
chr11+118756330,1,p304002
chr11+119128517,1,p304002
chr11+120372835,1,p304002
chr11+120421048,1,p304002
chr11+121553556,2,p304002
chr11+124262297,1,p304002
chr11+124975828,1,p304002
chr11+125912926,1,p304002
chr11+1281776,1,p304002
chr11+128255242,1,p304002
chr11+13428031,1,p304002
chr11+1481154,1,p304002
chr11+20444233,1,p304002
chr11+21499635,1,p304002
chr11+21747354,1,p304002
chr11+22953044,1,p304002
chr11+22977205,1,p304002
chr11+23476228,1,p304002
chr11+23561287,1,p304002
chr11+23808452,1,p304002
chr11+23973755,1,p304002
chr11+24373488,1,p304002
chr11+2974121,2,p304002
chr11+33270299,1,p304002
chr11+33281924,2,p304002
chr11+3362803,2,p304002
chr11+35739256,1,p304002
chr11+37561931,1,p304002
chr11+37899984,1,p304002
chr11+38042160,1,p304002
chr11+39570569,1,p304002
chr11+4031818,1,p304002
chr11+46078769,1,p304002
chr11+47818433,1,p304002
chr11+548352,1,p304002
chr11+58977565,1,p304002
chr11+59485636,1,p304002
chr11+61424668,1,p304002
chr11+61992924,1,p304002
chr11+62138148,1,p304002
chr11+63694431,1,p304002
chr11+63705696,1,p304002
chr11+63716997,1,p304002
chr11+63736782,1,p304002
chr11+63858176,1,p304002
chr11+64131068,1,p304002
chr11+64676862,1,p304002
chr11+64868896,1,p304002
chr11+65119510,1,p304002
chr11+65195994,1,p304002
chr11+65197364,1,p304002
chr11+65202031,1,p304002
chr11+65340771,1,p304002
chr11+65436911,1,p304002
chr11+65685113,1,p304002
chr11+65840041,1,p304002
chr11+65926380,1,p304002
chr11+66073345,1,p304002
chr11+66073354,1,p304002
chr11+66088230,1,p304002
chr11+66092750,1,p304002
chr11+66163714,1,p304002
chr11+66165350,1,p304002
chr11+66175311,1,p304002
chr11+66179242,1,p304002
chr11+66181367,1,p304002
chr11+66193105,1,p304002
chr11+66269946,1,p304002
chr11+66946854,1,p304002
chr11+67169956,1,p304002
chr11+67171951,1,p304002
chr11+67176168,1,p304002
chr11+67181837,1,p304002
chr11+6725626,1,p304002
chr11+67293438,1,p304002
chr11+6741059,1,p304002
chr11+674396,1,p304002
chr11+68094340,1,p304002
chr11+68156997,1,p304002
chr11+68184400,1,p304002
chr11+68500712,1,p304002
chr11+68505218,1,p304002
chr11+68505251,1,p304002
chr11+68506490,1,p304002
chr11+68521027,2,p304002
chr11+68522891,1,p304002
chr11+68554855,1,p304002
chr11+68600101,1,p304002
chr11+68814329,1,p304002
chr11+6944457,1,p304002
chr11+72063877,1,p304002
chr11+72842617,1,p304002
chr11+72869518,1,p304002
chr11+72875916,1,p304002
chr11+72914746,1,p304002
chr11+73007863,1,p304002
chr11+73065120,2,p304002
chr11+73065965,1,p304002
chr11+73108264,1,p304002
chr11+73121912,1,p304002
chr11+73443826,1,p304002
chr11+73736043,1,p304002
chr11+73737297,1,p304002
chr11+74150415,1,p304002
chr11+74236481,1,p304002
chr11+74376163,1,p304002
chr11+74799366,1,p304002
chr11+74954694,1,p304002
chr11+76012269,1,p304002
chr11+76450335,1,p304002
chr11+76520103,1,p304002
chr11+77952424,1,p304002
chr11+81003745,2,p304002
chr11+82911487,1,p304002
chr11+85562956,1,p304002
chr11+86007359,1,p304002
chr11+88398695,1,p304002
chr11+88449946,1,p304002
chr11+90208674,1,p304002
chr11+94459880,1,p304002
chr11+964178,1,p304002
chr11+97533954,1,p304002
chr11+98295150,1,p304002
chr11+98302211,1,p304002
chr11+99050804,1,p304002
chr11+9905127,1,p304002
chr12-100619433,1,p304002
chr12-101357205,1,p304002
chr12-101369289,1,p304002
chr12-1016049,1,p304002
chr12-1016130,1,p304002
chr12-104071280,1,p304002
chr12-108685466,1,p304002
chr12-109425752,1,p304002
chr12-109569024,1,p304002
chr12-110132063,1,p304002
chr12-11024827,1,p304002
chr12-110308490,1,p304002
chr12-110308570,1,p304002
chr12-110319630,1,p304002
chr12-111547971,1,p304002
