seqnames,start,end,width,strand,refGenome,reads,patient,GTSP,cellType,timePoint,timePointDays,timePointMonths,dataSource,posid,estAbund,relAbund,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,readsPerSample,readsRelAbund,totalSampleFrags,include,labeledNearestFeature,posidLabel
chr1,100060875,100060875,1,-,hg38,157,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-100060875,1,0.020116676725005028,TRUE,MFSD14A,+,FALSE,FALSE,-0,COL11A1,2815590,-,STIL,-52746727,-,377459,0.04159392145901939,4971,yes,MFSD14A *,"MFSD14A *
chr1-100060875"
chr1,100842452,100842452,1,-,hg38,1,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-100842452,1,0.020116676725005028,FALSE,EXTL2,-,FALSE,TRUE,29918,COL11A1,2034013,-,STIL,-53528304,-,377459,2.649294360447095e-4,4971,yes,EXTL2 ,"EXTL2 
chr1-100842452"
chr1,103977692,103977692,1,-,hg38,172,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-103977692,1,0.020116676725005028,FALSE,LOC100129138,+,FALSE,FALSE,-95329,COL11A1,-869195,-,STIL,-56663544,-,377459,0.04556786299969003,4971,yes,LOC100129138 ,"LOC100129138 
chr1-103977692"
chr1,105827304,105827304,1,-,hg38,9,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-105827304,1,0.020116676725005028,FALSE,LINC01677,-,FALSE,TRUE,100318,VAV3,1743854,-,STIL,-58513156,-,377459,0.0023843649244023853,4971,yes,LINC01677 ,"LINC01677 
chr1-105827304"
chr1,107639233,107639233,1,-,hg38,100,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-107639233,1,0.020116676725005028,TRUE,VAV3,-,FALSE,TRUE,-0,VAV3,-0,-,PBX1,-56920125,+,377459,0.026492943604470947,4971,yes,VAV3 *~,"VAV3 *~
chr1-107639233"
chr1,107750903,107750903,1,-,hg38,45,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-107750903,1,0.020116676725005028,TRUE,VAV3,-,FALSE,TRUE,-0,VAV3,-0,-,PBX1,-56808455,+,377459,0.011921824622011927,4971,yes,VAV3 *~,"VAV3 *~
chr1-107750903"
chr1,11025923,11025923,1,-,hg38,23,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-11025923,1,0.020116676725005028,FALSE,TARDBP,+,FALSE,FALSE,430,MTOR,80606,-,LCK,-21225314,+,377459,0.0060933770290283185,4971,yes,TARDBP ,"TARDBP 
chr1-11025923"
chr1,110352069,110352069,1,-,hg38,5,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-110352069,1,0.020116676725005028,FALSE,RBM15,+,FALSE,FALSE,5387,RBM15,5387,+,PBX1,-54207289,+,377459,0.0013246471802235474,4971,yes,RBM15 ~,"RBM15 ~
chr1-110352069"
chr1,111636281,111636281,1,-,hg38,50,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-111636281,1,0.020116676725005028,TRUE,RAP1A,+,FALSE,FALSE,0,RAP1A,0,+,PBX1,-52923077,+,377459,0.013246471802235473,4971,yes,RAP1A *~,"RAP1A *~
chr1-111636281"
chr1,117441617,117441617,1,-,hg38,66,p304002,GTSP5833,WHOLE BLOOD,UNS,0,0,Illumina,chr1-117441617,1,0.020116676725005028,TRUE,MAN1A2,+,FALSE,FALSE,0,VTCN1,-230656,-,PBX1,-47117741,+,377459,0.017485342778950825,4971,yes,MAN1A2 *,"MAN1A2 *
chr1-117441617"
