seqnames,start,end,width,strand,refGenome,reads,patient,sampleName,GTSP,timePoint,timePointDays,timePointMonths,dataSource,posid,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,cellType
chr4,58953,59038,86,+,hg38,302,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr4+58953,TRUE,ZNF595,+,FALSE,TRUE,0,GAK,790320,-,RAP1GDS1,-98202421,+,WHOLE BLOOD
chr16,193382,193508,127,+,hg38,340,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr16+193382,TRUE,LUC7L,-,FALSE,FALSE,-0,AXIN1,94056,-,None.found,Inf,None.found,WHOLE BLOOD
chr10,198032,198159,128,-,hg38,224,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr10-198159,TRUE,ZMYND11,+,FALSE,FALSE,-0,DIP2C,76029,-,KLF6,3577835,-,WHOLE BLOOD
chr20,207998,208410,413,-,hg38,10,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr20-208410,FALSE,DEFB128,-,FALSE,TRUE,-18728,CSNK2A1,274282,-,None.found,Inf,None.found,WHOLE BLOOD
chr16,213733,214014,282,+,hg38,19,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr16+213733,TRUE,LUC7L,-,FALSE,FALSE,0,AXIN1,73705,-,None.found,Inf,None.found,WHOLE BLOOD
chr16,219151,219446,296,+,hg38,2,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr16+219151,TRUE,LUC7L,-,FALSE,FALSE,0,AXIN1,68287,-,None.found,Inf,None.found,WHOLE BLOOD
chr5,409758,409875,118,+,hg38,58,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr5+409758,TRUE,AHRR,+,FALSE,TRUE,-0,PDCD6,94783,+,TLX3,-170899524,+,WHOLE BLOOD
chr11,595357,595655,299,-,hg38,19,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr11-595655,TRUE,PHRF1,+,FALSE,FALSE,-0,HRAS,-60087,-,NUP98,3079353,-,WHOLE BLOOD
chr19,669813,669882,70,-,hg38,1,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr19-669882,FALSE,FSTL3,+,FALSE,FALSE,-6505,FSTL3,-6505,+,TCF3,939400,-,WHOLE BLOOD
chr16,682632,682691,60,-,hg38,45,p304002,GTSP5833-1,GTSP5833,UNS,0,0,Illumina,chr16-682691,TRUE,"STUB1,JMJD8","+,-",TRUE,FALSE,0,LMF1,170941,-,None.found,Inf,None.found,WHOLE BLOOD
